PAID,Constituency,Cnty,Region,CON,LAB,UKIP,LD,SNP,G,DUP,PC,SF,UUP,SDLP,Ind,Others,Votes,tpc,Winnervotes,Maj.,Winner%,win
1,Aberavon,,WAL,"5,901","22,662","1,345",599,,,,"2,761",,,,,,"33,268",66.70%,"22,662","10,445",68.11%,Lab
2,Aberconwy,,WAL,"12,513","8,514","3,467","1,391",,727,,"3,536",,,,,,"30,148",66.20%,"12,513","3,999",39.69%,Con
3,Aberdeen North,,SCO,"5,304","11,397",,"2,050","24,793",,,,,,,,392,"43,936",64.90%,"24,793","13,396",56.43%,SNP
4,Aberdeen South,,SCO,"11,087","12,991",897,"2,252","20,221",964,,,,,,139,,"48,551",71.30%,"20,221","7,230",41.65%,SNP
6,Airdrie and Shotts,,SCO,"3,389","15,108","1,088",678,"23,887",,,,,,,136,,"44,286",66.40%,"23,887","8,779",53.94%,SNP
7,Aldershot,HAM,SEE,"23,369","8,468","8,253","4,076",,"2,025",,,,,,,,"46,191",63.80%,"23,369","14,901",50.59%,Con
8,Aldridge-Brownhills,W M,WM,"20,558","8,835","7,751","1,330",,826,,,,,,,197,"39,497",65.60%,"20,558","11,723",52.05%,Con
9,Altrincham & Sale West,G M,NWE,"26,771","13,481","4,047","4,235",,"1,983",,,,,,,,"50,517",70.20%,"26,771","13,290",52.99%,Con
10,Alyn & Deeside,,WAL,"13,197","16,540","7,260","1,733",,976,,"1,608",,,,,,"41,314",66.60%,"16,540","3,343",40.03%,Lab
11,Amber Valley,DER,EM,"20,106","15,901","7,263","1,360",,"1,087",,,,,,,,"45,717",65.10%,"20,106","4,205",43.98%,Con
12,Angus,,SCO,"12,900","3,919","1,355","1,216","24,130",965,,,,,,,,"44,485",67.60%,"24,130","11,230",54.24%,SNP
16,Arfon,,WAL,"3,521","8,122","2,277",718,,,,"11,790",,,,,409,"26,837",66.30%,"11,790","3,668",43.93%,PC
17,Argyll & Bute,,SCO,"7,733","5,394","1,311","14,486","22,959",,,,,,,,,"51,883",75.30%,"22,959","8,473",44.25%,SNP
18,Arundel & South Downs,W S,SEE,"34,331","6,324","8,154","4,062",,"3,606",,,,,,,,"56,477",73.10%,"34,331","26,177",60.79%,Con
19,Ashfield,NTG,EM,"10,628","19,448","10,150","7,030",,,,,,,,,153,"47,409",61.50%,"19,448","8,820",41.02%,Lab
20,Ashford,KEN,SEE,"30,094","10,580","10,798","3,433",,"2,467",,,,,,,,"57,372",67.30%,"30,094","19,296",52.45%,Con
21,Ashton-under-Lyne,G M,NWE,"8,610","19,366","8,468",943,,"1,531",,,,,,,,"38,918",57.50%,"19,366","10,756",49.76%,Lab
22,Aylesbury,BUC,SEE,"28,083","8,391","10,925","5,885",,"2,135",,,,,,,,"55,419",68.70%,"28,083","17,158",50.67%,Con
