PAID,Constituency,Con,Lab,LD,SNP,PC,UKIP,G,Ind,Oth
11,Amber Valley,"25,905","17,605","1,100",,,,650,551,
19,Ashfield,"20,844","21,285",868,,,,398,"4,612",
35,Bassetlaw,"22,615","27,567","1,154",,,,,"1,014",
75,Bolsover,"18,865","24,153","1,372",,,"2,129",,,
80,Boston & Skegness,"27,271","10,699",771,,,"3,308",547,283,
81,Bosworth,"31,864","13,513","9,744",,,,"1,047",,
107,Broxtowe,"25,983","25,120","2,247",,,"1,477",681,,
136,Charnwood,"33,318","16,977","2,052",,,"1,471","1,036",322,
144,Chesterfield,"16,661","26,266","2,612",,,"1,611",777,,
161,Corby,"29,534","26,844","1,545",,,"1,495",579,,
178,Daventry,"35,464","13,730","4,015",,,"1,497",957,,
181,Derby North,"21,607","23,622","2,262",,,"1,181",,,
182,Derby South,"15,182","26,430","1,229",,,"2,011",454,,
184,Derbyshire Dales,"29,744","15,417","3,126",,,,"1,002",282,
241,Erewash,"25,939","21,405","1,243",,,,675,519,
257,Gainsborough,"31,790","14,767","3,630",,,,"1,238",,
260,Gedling,"22,139","26,833","1,052",,,"1,143",515,,
274,Grantham & Stamford,"35,090","14,996","3,120",,,"1,745",782,860,
291,Harborough,"30,105","17,706","7,286",,,"1,361","1,110",,
314,High Peak,"24,431","26,753","2,669",,,,,,
341,Kettering,"28,616","18,054","1,618",,,,"1,116",,
356,Leicester East,"12,668","35,116","1,343",,,,"1,070","1,753",454
357,Leicester South,"10,986","37,157","1,287",,,,"1,177",,
358,Leicester West,"11,736","22,823",792,,,"1,406",607,121,
368,Lincoln,"21,795","23,333","1,284",,,"1,287",583,312,
377,Loughborough,"27,022","22,753","1,937",,,"1,465",971,,
378,Louth & Horncastle,"33,733","14,092","1,990",,,"2,460",,,496
390,Mansfield,"23,392","22,335",697,,,"2,654",,"1,079",
184,Mid Derbyshire,"29,513","17,897","1,793",,,,"1,168",,
411,Newark,"34,493","16,344","2,786",,,"1,419",,,
185,North East Derbyshire,"24,784","21,923","1,390",,,"1,565",719,,
359,North West Leicestershire,"31,153","17,867","3,420",,,,"1,101",,
427,Northampton North,"19,065","18,258","1,015",,,"1,404",636,,
428,Northampton South,"19,231","18,072","1,405",,,"1,630",696,,
432,Nottingham East,"8,512","28,102","1,003",,,817,698,,195
433,Nottingham North,"11,907","23,067",674,,,"2,133",538,,
434,Nottingham South,"14,851","30,013","1,564",,,"1,103",598,,
486,Rushcliffe,"30,223","22,213","2,759",,,"1,490","1,626",,
488,Rutland & Melton,"36,169","13,065","4,711",,,"1,869","1,755",,
508,Sherwood,"27,492","22,294","1,113",,,"1,801",664,,
514,Sleaford & North Hykeham,"42,245","17,008","2,722",,,"1,954",968,900,
186,South Derbyshire,"30,907","18,937","1,870",,,,917,,
520,South Holland & The Deepings,"35,179","10,282","1,433",,,"2,185",894,342,
360,South Leicestershire,"34,795","16,164","2,403",,,"2,235","1,092",,
429,South Northamptonshire,"40,599","17,759","3,623",,,"1,363","1,357",297,
608,Wellingborough,"30,579","18,119","1,782",,,"1,804",956,,
32,Basildon & Billericay,"27,381","13,981","1,548",,,"2,008",,,
41,Bedford,"21,923","22,712","2,837",,,,"1,008",,
88,Braintree,"32,873","14,451","2,251",,,"1,835",916,,
93,Brentwood & Ongar,"34,811","10,809","4,426",,,"1,845",915,,
103,Broadland,"32,406","16,590","4,449",,,"1,594",932,,
106,Broxbourne,"29,521","13,723","1,481",,,"1,918",848,,
